"layer1",0,28,4,0,28,4
"group1_block1_conv1",0,28,4,0,28,4
"group1_block1_conv2",0,28,4,0,28,4
"group1_block2_conv1",0,28,4,0,28,4
"group1_block2_conv2",0,28,4,0,28,4
"group2_bypass",      0,28,4,0,28,4
"group2_block1_conv1",0,28,4,0,28,4
"group2_block1_conv2",0,28,4,0,28,4
"group2_block2_conv1",0,28,4,0,28,4
"group2_block2_conv2",0,28,4,0,28,4
"group3_bypass",      0,28,4,0,28,4
"group3_block1_conv1",0,28,4,0,28,4
"group3_block1_conv2",0,28,4,0,28,4
"group3_block2_conv1",0,28,4,0,28,4
"group3_block2_conv2",0,28,4,0,28,4
"group4_bypass",      0,28,4,0,28,4
"group4_block1_conv1",0,28,4,0,28,4
"group4_block1_conv2",0,28,4,0,28,4
"group4_block2_conv1",0,28,4,0,28,4
"group4_block2_conv2",0,28,4,0,28,4
"last_layer",            0,28,4,0,28,4
